iter	RMSE
0	0.4765071633
1	0.4697690906
2	0.4630391221
3	0.4577086862
4	0.4514866755
5	0.4459088853
6	0.4403297113
7	0.4353263767
8	0.4298836899
9	0.4257706731
10	0.4210337173
11	0.4165660722
12	0.4126744128
13	0.4091652306
14	0.4057425882
15	0.4020253373
16	0.3986168071
17	0.3955752404
18	0.3923963287
19	0.3901317393
20	0.3873126435
21	0.3849437461
22	0.3823045458
23	0.3802463457
24	0.3776810573
25	0.3757917899
26	0.3742768282
27	0.3731351377
28	0.3714327429
29	0.370603349
30	0.3688746663
31	0.3669613263
32	0.3654055613
33	0.3637938997
34	0.3622484375
35	0.3610862734
36	0.3598790066
37	0.3586793464
38	0.357583718
39	0.356691894
40	0.3557521977
41	0.3547004786
42	0.353560034
43	0.352287822
44	0.3513721208
45	0.3504264375
46	0.3496454868
47	0.3489124969
48	0.3486108768
49	0.3477584707
50	0.3469192192
51	0.3462574511
52	0.3456155881
53	0.3449704156
54	0.3447586348
55	0.344152126
56	0.3438004664
57	0.3432272981
58	0.3426183746
59	0.3421462176
60	0.3416987265
61	0.3411039399
62	0.3406206117
63	0.340068394
64	0.3396285765
65	0.3394542724
66	0.3391137694
67	0.338810205
68	0.3385110596
69	0.3379648416
70	0.3375473291
71	0.3374660842
72	0.3372180759
73	0.3368126648
74	0.3364437997
75	0.3363833596
76	0.3359822395
77	0.3356145266
78	0.3350509057
79	0.334568631
80	0.3343047339
81	0.3339245144
82	0.3335325161
83	0.3330149324
84	0.3326998705
85	0.3324027776
86	0.33204907
87	0.3319069048
88	0.3316338757
89	0.3310640388
90	0.3306630203
91	0.330155735
92	0.3300990693
93	0.3298449708
94	0.3291805866
95	0.328845387
96	0.3284867139
97	0.3278793636
98	0.3275742681
99	0.3274179902
100	0.3272521808
101	0.3269551254
102	0.3264429954
103	0.3259953159
104	0.3257146503
105	0.3254970228
106	0.3250881823
107	0.3247133923
108	0.324361737
109	0.3241939393
110	0.3240634139
111	0.3235249475
112	0.3232929214
113	0.3231397901
114	0.3229525799
115	0.3228347227
116	0.3225716325
117	0.3223228295
118	0.322129534
119	0.3219869798
120	0.3216045921
121	0.3213155348
122	0.3210638435
123	0.3208736185
124	0.3206751816
125	0.3205904638
126	0.3204209399
127	0.3201562399
128	0.3200325271
129	0.3200128753
130	0.3199489688
131	0.3195949169
132	0.3193820757
133	0.3190632073
134	0.3188143447
135	0.3185610349
136	0.3185461112
137	0.3183754115
138	0.3181358937
139	0.3179847051
140	0.3176032431
141	0.3174251805
142	0.3169720753
143	0.3167966651
144	0.3166236734
145	0.3162340959
146	0.3161100058
147	0.3160472952
148	0.3158765947
149	0.3156283586
150	0.3153462579
151	0.3151323203
152	0.31508114
153	0.3149504574
154	0.3147512876
155	0.3145507473
156	0.3143155222
157	0.3141503131
158	0.3140504827
159	0.3138245446
160	0.3136239952
161	0.3134296671
162	0.3133975405
163	0.3131528742
164	0.3127771563
165	0.312703994
166	0.3125614673
167	0.3123276426
168	0.3121759783
169	0.3117097802
170	0.3115947434
171	0.3114523257
172	0.3110766616
173	0.3108993746
174	0.3107928142
175	0.3107520351
176	0.3106620106
177	0.3104675558
178	0.3099500127
179	0.3097661209
180	0.3096530986
181	0.3095988641
182	0.3092870954
183	0.3091986778
184	0.3090567475
185	0.30877992
186	0.3086275027
187	0.3085355164
188	0.30833685
189	0.30812219
190	0.3079088324
191	0.3076818425
192	0.3074851901
193	0.307269317
194	0.307074137
195	0.3067421251
196	0.3064277442
197	0.3062991774
198	0.3061571537
199	0.3061014559
200	0.3057074288
201	0.3054027741
202	0.3053853919
203	0.3052582479
204	0.305137947
205	0.3049438391
206	0.3048272839
207	0.3047014404
208	0.304593624
209	0.3045310603
210	0.3043782938
211	0.3042921656
212	0.3041775805
213	0.30402069
214	0.3038712425
215	0.3036088481
216	0.3034564186
217	0.3033368009
218	0.3032303748
219	0.3028740236
220	0.3027968373
221	0.3026260062
222	0.302502513
223	0.3024117538
224	0.3022884137
225	0.3021167212
226	0.3019030487
227	0.3018620331
228	0.3017815494
229	0.3016615517
230	0.3015064792
231	0.3014334319
232	0.3013685365
233	0.3010485829
234	0.3009347904
235	0.3007831532
236	0.3007426196
237	0.3006170712
238	0.3005757779
239	0.3005247971
240	0.300386113
241	0.3002422287
242	0.2996160238
243	0.29946976
244	0.2992881487
245	0.2991673478
246	0.2990836875
247	0.298988193
248	0.2988338359
249	0.2987354084
250	0.298557035
251	0.2981920697
252	0.2980500875
253	0.2979854362
254	0.2979045673
255	0.2977314822
256	0.2975273239
257	0.2971840312
258	0.2970563955
259	0.2966987267
260	0.2964890139
261	0.2962755473
262	0.2960584742
263	0.2955066163
264	0.2953252988
265	0.2950431267
266	0.2948969112
267	0.2947489778
268	0.2946652841
269	0.2940982627
270	0.2937638804
271	0.2936788727
272	0.2936355547
273	0.2935133504
274	0.2930022468
275	0.2924411299
276	0.2921708522
277	0.2915911398
278	0.2915194308
279	0.291217644
280	0.2906951211
281	0.2901410447
282	0.2896224142
283	0.289338912
284	0.288813504
285	0.2886855012
286	0.2884439121
287	0.2883345001
288	0.2879432215
289	0.2874807022
290	0.2874037303
291	0.2869373376
292	0.2866046371
293	0.2862431273
294	0.2861012552
295	0.2859606168
296	0.2858096674
297	0.2854422838
298	0.2852849492
299	0.2852213728
300	0.2850880526
301	0.2847063352
302	0.2845332157
303	0.2844716955
304	0.2843976363
305	0.2840653383
306	0.2838710138
307	0.2837516519
308	0.2836314265
309	0.283268479
310	0.2832147026
311	0.2831684059
312	0.2828836403
313	0.2825315241
314	0.2824354776
315	0.2822695311
316	0.2819776978
317	0.2818859278
