iter	Passed	Remaining
0	0	387
1	0	344
2	0	330
3	1	306
4	1	290
5	1	289
6	2	295
7	2	285
8	2	284
9	2	284
10	3	283
11	3	281
12	3	278
13	3	278
14	4	278
15	4	279
16	4	280
17	5	280
18	5	279
19	5	273
20	5	273
21	6	272
22	6	272
23	6	268
24	6	269
25	7	267
26	7	266
27	7	260
28	7	260
29	7	254
30	8	253
31	8	253
32	8	254
33	8	253
34	9	252
35	9	252
36	9	251
37	9	251
38	10	251
39	10	250
40	10	250
41	10	249
42	11	249
43	11	249
44	11	248
45	11	248
46	12	247
47	12	247
48	12	245
49	12	244
50	13	244
51	13	243
52	13	242
53	13	243
54	13	240
55	14	240
56	14	240
57	14	240
58	15	240
59	15	240
60	15	240
61	15	239
62	16	239
63	16	239
64	16	239
65	16	238
66	17	239
67	17	239
68	17	241
69	18	243
70	18	244
71	18	242
72	19	241
73	19	241
74	19	241
75	19	239
76	20	239
77	20	239
78	20	239
79	20	239
80	21	241
81	21	241
82	21	241
83	22	240
84	22	240
85	22	240
86	22	240
87	23	240
88	23	240
89	23	239
90	24	240
91	24	240
92	24	239
93	24	238
94	25	238
95	25	237
96	25	237
97	25	237
98	26	237
99	26	237
100	26	236
101	26	236
102	27	236
103	27	235
104	27	235
105	27	235
106	28	235
107	28	234
108	28	234
109	28	234
110	29	234
111	29	233
112	29	233
113	29	233
114	30	232
115	30	232
116	30	232
117	31	232
118	31	231
119	31	231
120	31	231
121	32	231
122	32	231
123	32	230
124	32	230
125	33	229
126	33	229
127	33	229
128	33	229
129	34	229
130	34	228
131	34	229
132	35	229
133	35	229
134	35	229
135	36	230
136	36	230
137	36	229
138	37	230
139	37	230
140	37	230
141	38	229
142	38	229
143	38	229
144	38	228
145	39	228
146	39	228
147	39	227
148	39	227
149	40	226
150	40	227
151	40	226
152	40	226
153	41	226
154	41	225
155	41	225
156	41	225
157	42	224
158	42	224
159	42	223
160	42	223
161	43	223
162	43	223
163	43	222
164	43	222
165	44	221
166	44	222
167	45	223
168	45	223
169	45	223
170	46	223
171	46	223
172	46	223
173	47	223
174	47	222
175	47	222
176	47	222
177	48	221
178	48	223
179	49	223
180	49	223
181	49	223
182	50	223
183	50	224
184	50	224
185	51	223
186	51	223
187	51	224
188	52	224
189	52	224
190	52	223
191	53	223
192	53	223
193	53	222
194	53	222
195	54	222
196	54	221
197	54	221
198	54	221
199	55	220
200	55	220
201	55	220
202	55	219
203	56	219
204	56	219
205	56	218
206	57	218
207	57	218
208	57	217
209	57	217
210	58	217
211	58	216
212	58	216
213	58	216
214	59	215
215	59	215
216	59	215
217	59	215
218	60	214
219	60	214
220	60	214
221	61	213
222	61	213
223	61	212
224	61	212
225	61	212
226	62	211
227	62	211
228	62	211
229	63	210
230	63	210
231	63	210
232	63	209
233	64	209
234	64	209
235	64	209
236	64	208
237	65	208
238	65	207
239	65	207
240	65	207
241	66	207
242	66	206
243	66	206
244	67	206
245	67	206
246	67	206
247	67	206
248	68	205
249	68	205
250	68	204
251	68	204
252	69	204
253	69	204
254	69	203
255	69	203
256	70	203
257	70	202
258	70	202
259	71	202
260	71	201
261	71	201
262	71	201
263	72	200
264	72	200
265	72	200
266	72	199
267	73	199
268	73	199
269	73	199
270	74	199
271	74	199
272	74	198
273	74	198
274	75	198
275	75	198
276	75	197
277	76	197
278	76	197
279	76	196
280	76	196
281	76	196
282	77	195
283	77	195
284	77	195
285	78	194
286	78	194
287	78	194
288	78	194
